"date","website","url","tags","notes"
"2020-10-27","Kinopio","https://kinopio.club/","",""
"2020-10-27","Darius Kazemi’s Projects","https://tinysubversions.com/projects/","",""
"2020-10-27","Playbit","https://playb.it","",""
"2020-11-02","Diskuti","https://diskuti.gr","",""
"2020-11-02","LobreOps","https://libreops.cc","",""
"2020-11-03","Prose","https://prose.io/","",""
"2020-11-03","Markdown editor","https://jbt.github.io/markdown-editor/","",""
"2020-11-03","Zenpen","https://zenpen.io","",""
"2020-11-03","Cursor","http://cursor.in","",""
"2020-11-03","px to em","http://pxtoem.com","",""
"2020-11-03","JustDeleteMe","https://justdeleteme.xyz","",""
"2020-11-03","JustGetMyData","https://justgetmydata.com","",""
"2020-11-03","DevHints","https://devhints.io","",""
"2020-11-03","Dillinger","https://dillinger.io","",""
"2020-11-03","oTranscribe","https://otranscribe.com","",""
"2020-11-03","Jawann Denn","https://jawanndenn.de","",""
"2020-11-03","Concentrics","https://tholman.com/concentrics/","",""
"2020-11-03","Engineering Toolbox","https://www.engineeringtoolbox.com","",""
"2020-11-03","WriteUp","https://writeup.ai","",""
"2020-11-03","Brand Palettes","https://brandpalettes.com","",""
"2020-11-03","Andrew Pairman","https://shift.andrewpairman.com","",""
"2020-11-03","The Restart Project","https://therestartproject.org","",""
"2020-11-13","That’s the finger","https://thatsthefinger.com","",""
"2020-11-13","Le note di Azazel","http://azazel.it","",""
"2020-11-13","Andy Matuschak","https://andymatuschak.org","",""
"2020-11-13","Andy’s working notes","https://notes.andymatuschak.org/","",""
"2020-11-14","Mersenne","https://www.mersenne.org","",""
"2020-11-14","Wikiwand","https://www.wikiwand.com","",""
"2020-11-14","Federated Wiki","http://fed.wiki.org/view/federated-wiki","",""
"2020-11-15","Polititweet","https://polititweet.org","",""
"2020-11-29","Joel Hooks","https://joelhooks.com","",""
"2020-11-29","Gwern","https://www.gwern.net/index","",""
"2020-11-29","Maggie Appleton","https://maggieappleton.com","",""
"2020-12-10","HTML Energy","https://html.energy","",""
"2020-12-15","LablNet","https://lablnet.github.io/board/","",""
"2020-12-15","","https://olawalejuwonm.github.io/rest-countries-api-with-color-theme-switcher/","",""
"2020-12-15","Webapp Tools","https://webapp.tools","",""
"2020-12-15","1pt.co","https://1pt.co","",""
"2020-12-15","Unavatar","https://unavatar.now.sh","",""
"2020-12-16","Excalidraw","https://excalidraw.com","",""
"2021-01-06","Litewrite","https://litewrite.net/","",""
"2021-01-06","0data","https://0data.app/","",""
"2021-01-06","Find internet4000","https://find.internet4000.com","",""
"2021-01-07","Infinite Gnossiennes","https://gnossiennes.mousereeve.com","",""
"2021-01-16","Pussthecat","https://pussthecat.org","",""
"2021-01-16","LearnAnything","https://learn-anything.xyz","",""
"2021-01-16","ss64","https://ss64.com","",""
"2021-01-16","Blank Website","http://www.blankwebsite.com","",""
"2021-01-17","Webjeda","https://webjeda.com","",""
"2021-01-17","Color mixer","https://colormixer.web.app","",""
"2021-01-18","Lunar Explosion","https://lunarexploration.esa.int/intro","",""
"2021-01-22","Bernie sits","https://bernie-sits.herokuapp.com","",""
"2021-01-23","Nikita Voloboev’s Wiki","https://wiki.nikitavoloboev.xyz","",""
"2021-01-31","Darius Kazemi","https://tinysubversions.com/vibes/","",""
"2021-01-31","Person","https://tinysubversions.com/stuff/person/","",""
"2021-02-02","The Reboot","https://thereboot.com","",""
"2021-01-12","Create Habit","https://programs.clearerthinking.org/daily_ritual.html","",""
"2021-01-13","xiffy","https://xiffy.nl","",""
"2021-02-23","The Search Engines Map","https://www.searchenginemap.com","",""
"2021-02-23","The Internet Map","https://internet-map.net","",""
"2021-03-11","NeverSSL","https://neverssl.com/","",""
"2021-03-11","Good Old Web","https://www.goodoldweb.com","",""
"2021-03-11","The Indie Web","https://theindieweb.com","",""
"2021-03-11","Mondrian and me","https://mondrianandme.com/","",""
"2021-03-11","The Zen Zone","https://thezen.zone","",""
"2021-03-11","Binary Music Player","https://tholman.com/binary-music-player/","",""
"2021-03-11","Minimal IP address finder","https://ipaddress.sh","",""
"2021-03-11","Can’t Not Tweet This","https://cant-not-tweet-this.com","",""
"2021-03-11","The Useless Web","https://theuselessweb.com/sites/","",""
"2021-03-11","The 512KB Club","https://512kb.club","",""
"2021-03-11","The 1MB Club","https://1mb.club","",""
"2021-03-11","The 250KB Club","https://250kb.club","",""
"2021-03-11","NoJS Club","https://nojs.club","",""
"2021-03-13","Jam","https://jam.systems","",""
"2021-03-14","Bearblog","https://bearblog.dev/","",""
"2021-03-14","JustSketchMe","https://app.justsketch.me","",""
"2021-03-14","magic.do","https://www.magic.do","",""
"2021-03-14","Frugal Web Browser","https://frugalweb.xyz","",""
"2021-03-15","NixNet Services","https://nixnet.services","",""
"2021-03-16","Andala","https://www.aliciaunderhill.xyz/Andala/","","A drawing web app for symmetric designs"
"2021-03-16","Treasure Map","https://the-treasure-map.herokuapp.com","","unknown places around the world"
"2021-03-16","10 fast fingers","https://10fastfingers.com","","check typing speed"
"2021-03-16","Keybr","https://www.keybr.com","","improve typing speed"
"2021-03-16","Laurent Raufaste","http://www.glop.org","people",""
"2021-03-16","Gradient Avatar","https://gradient-avatar.glitch.me/xplosionmind","",""
"2021-03-16","Online Life Calendar","https://www.onlinelifecalendar.com","",""
